# step E_mixed E_primitive r
167 -0.500000 -182.046426 0.010388
168 -0.500000 -182.138054 0.010383
169 -0.500000 -182.230099 0.010389
170 -0.500000 -182.333159 0.010393
171 -0.500000 -182.431641 0.010378
172 -0.500000 -182.449107 0.010360
173 -0.500000 -182.482151 0.010343
174 -0.500000 -182.574397 0.010307
175 -0.500000 -182.621342 0.010310
176 -0.500000 -182.672491 0.010337
177 -0.500000 -182.831385 0.010314
178 -0.500000 -182.849796 0.010329
179 -0.500000 -182.903508 0.010352
180 -0.500000 -182.950567 0.010360
181 -0.500000 -183.053073 0.010357
182 -0.500000 -183.268462 0.010341
183 -0.500000 -183.376287 0.010316
184 -0.500000 -183.439474 0.010333
185 -0.500000 -183.491812 0.010328
186 -0.500000 -183.530249 0.010307
187 -0.500000 -183.603785 0.010288
188 -0.500000 -183.662457 0.010239
189 -0.500000 -183.672679 0.010235
190 -0.500000 -183.773028 0.010248
191 -0.500000 -183.909591 0.010223
192 -0.500000 -183.941411 0.010265
193 -0.500000 -184.079413 0.010257
194 -0.500000 -184.139574 0.010240
195 -0.500000 -184.325353 0.010230
196 -0.500000 -184.435152 0.010214
197 -0.500000 -184.517981 0.010215
198 -0.500000 -184.555061 0.010181
199 -0.500000 -184.626570 0.010185
200 -0.500000 -184.729438 0.010172
201 -0.500000 -184.835410 0.010162
202 -0.500000 -184.980413 0.010160
203 -0.500000 -185.064844 0.010149
204 -0.500000 -185.150956 0.010140
205 -0.500000 -185.306285 0.010109
206 -0.500000 -185.330988 0.010141
207 -0.500000 -185.499459 0.010141
208 -0.500000 -185.568133 0.010124
209 -0.500000 -185.686512 0.010125
210 -0.500000 -185.799717 0.010119
211 -0.500000 -185.872310 0.010125
212 -0.500000 -185.961368 0.010168
213 -0.500000 -186.094622 0.010152
214 -0.500000 -186.167781 0.010168
215 -0.500000 -186.187118 0.010201
216 -0.500000 -186.263304 0.010195
217 -0.500000 -186.404234 0.010154
218 -0.500000 -186.441339 0.010170
219 -0.500000 -186.639119 0.010158
220 -0.500000 -186.747695 0.010164
221 -0.500000 -186.894729 0.010141
222 -0.500000 -187.023062 0.010157
223 -0.500000 -187.125871 0.010173
224 -0.500000 -187.214685 0.010148
225 -0.500000 -187.253472 0.010165
226 -0.500000 -187.348830 0.010201
227 -0.500000 -187.418137 0.010206
228 -0.500000 -187.436876 0.010211
229 -0.500000 -187.544615 0.010218
230 -0.500000 -187.642923 0.010201
231 -0.500000 -187.706010 0.010206
232 -0.500000 -187.733432 0.010168
233 -0.500000 -187.867158 0.010188
234 -0.500000 -188.023945 0.010183
235 -0.500000 -188.075479 0.010177
236 -0.500000 -188.118189 0.010188
237 -0.500000 -188.139664 0.010178
238 -0.500000 -188.201960 0.010176
239 -0.500000 -188.340123 0.010184
240 -0.500000 -188.441553 0.010202
241 -0.500000 -188.477439 0.010185
242 -0.500000 -188.521732 0.010171
243 -0.500000 -188.755407 0.010172
244 -0.500000 -188.909464 0.010187
245 -0.500000 -188.953140 0.010242
246 -0.500000 -189.025536 0.010260
247 -0.500000 -189.165063 0.010278
248 -0.500000 -189.200259 0.010292
249 -0.500000 -189.254395 0.010291
250 -0.500000 -189.428681 0.010301
251 -0.500000 -189.504958 0.010296
252 -0.500000 -189.622024 0.010264
253 -0.500000 -189.716883 0.010253
254 -0.500000 -189.783569 0.010251
255 -0.500000 -189.816702 0.010245
256 -0.500000 -189.850872 0.010275
257 -0.500000 -189.932991 0.010265
258 -0.500000 -190.178309 0.010255
259 -0.500000 -190.370405 0.010232
260 -0.500000 -190.568647 0.010205
261 -0.500000 -190.842849 0.010187
262 -0.500000 -190.966689 0.010175
263 -0.500000 -191.058993 0.010193
264 -0.500000 -191.183943 0.010207
265 -0.500000 -191.264606 0.010222
266 -0.500000 -191.300192 0.010251
267 -0.500000 -191.395509 0.010254
268 -0.500000 -191.480919 0.010271
269 -0.500000 -191.637876 0.010301
270 -0.500000 -191.657428 0.010333
271 -0.500000 -191.697697 0.010359
272 -0.500000 -191.723344 0.010359
273 -0.500000 -191.858355 0.010344
